id	F
2073	0.125
2154	0.125
2305	0.25
2306	0.25
2307	0.25
2444	0.25
3312	0.03125
3534	0.25
3582	0.125
3724	0.0625
3776	0.03125
3932	0.25
4063	0.0625
4064	0.0625
4092	0.0078125
4103	0.03125
4104	0.03125
4105	0.03125
4126	0.015625
4135	0.25
4136	0.25
4204	0.125
4205	0.125
4224	0.0078125
4225	0.0078125
4255	0.0625
4303	0.0234375
4304	0.03125
4319	0.015625
4350	0.0078125
4351	0.0078125
4352	0.0078125
4353	0.0078125
4355	0.015625
4356	0.015625
4357	0.015625
4370	0.015625
4395	0.015625
4396	0.015625
4397	0.015625
4460	0.125
4461	0.125
4462	0.125
4465	0.0078125
4466	0.0078125
4467	0.0078125
4468	0.0078125
4469	0.0078125
4470	0.0078125
4472	0.0078125
4473	0.0078125
4474	0.0078125
4475	0.0078125
4476	0.015625
4477	0.015625
4516	0.03125
4517	0.03125
4662	0.03125
4663	0.03125
4664	0.03125
4694	0.015625
4695	0.015625
4696	0.015625
4697	0.015625
4800	0.0078125
4801	0.0078125
4854	0.0078125
4855	0.0078125
4856	0.0078125
4865	0.015625
4923	0.0078125
4924	0.0078125
5016	0.0078125
5022	0.00390625
5023	0.00390625
5024	0.00390625
5082	0.00390625
5083	0.00390625
5084	0.00390625
5088	0.015625
5089	0.015625
5090	0.0078125
5091	0.0078125
5101	0.01953125
5108	0.00390625
5109	0.00390625
5130	0.00390625
5137	0.005859375
5139	0.015625
5140	0.015625
5141	0.015625
5142	0.015625
5157	0.25
5158	0.25
5159	0.25
5173	0.001953125
5191	0.00390625
5192	0.00390625
5193	0.00390625
5198	0.015625
5199	0.015625
5205	0.015625
5206	0.015625
5207	0.015625
5208	0.015625
5209	0.00390625
5210	0.00390625
5211	0.00390625
5212	0.00390625
5213	0.00390625
5214	0.00390625
5216	0.00390625
5234	0.015625
5235	0.015625
5236	0.015625
5237	0.015625
5238	0.015625
5249	0.0078125
5250	0.0078125
5265	0.001953125
5266	0.001953125
5269	0.001953125
5270	0.001953125
5283	0.0078125
5284	0.0078125
5290	0.00390625
5291	0.00390625
5292	0.00390625
5297	0.00390625
5298	0.00390625
5299	0.00390625
5302	0.005859375
5303	0.005859375
5304	0.005859375
5319	0.001953125
5320	0.001953125
5336	0.25
5337	0.25
5338	0.25
5339	0.25
5342	0.00390625
5343	0.00390625
5344	0.00390625
5345	0.00390625
5350	0.017578125
5351	0.017578125
5352	0.001953125
5355	0.001953125
5357	0.001953125
5361	0.001953125
5362	0.001953125
5363	0.001953125
5364	0.001953125
5369	0.00390625
5374	0.001953125
5385	0.001953125
5386	0.001953125
5393	0.00390625
5395	0.03125
5396	0.03125
5397	0.03125
5398	0.03125
5404	0.001953125
5408	0.0078125
5409	0.0078125
5424	0.00390625
5425	0.00390625
5426	0.00390625
5427	0.03125
5428	0.03125
5447	0.00390625
5448	0.00390625
5450	0.001953125
5451	0.001953125
5492	0.001953125
5505	0.00390625
5506	0.00390625
5509	0.0078125
5518	0.001953125
5519	0.001953125
5520	0.001953125
5521	0.001953125
5522	0.001953125
5523	0.001953125
5524	0.0078125
5525	0.0078125
5526	0.001953125
5527	0.00390625
5528	0.00390625
5529	0.00390625
5530	0.00390625
5541	0.00390625
5546	0.0078125
5551	0.01953125
5552	0.001953125
5553	0.001953125
5580	0.00390625
5593	0.015625
5600	0.005859375
5601	0.005859375
5602	0.005859375
5603	0.005859375
5609	0.0078125
5610	0.0078125
5611	0.0078125
5612	0.0078125
5617	0.0625
5618	0.0625
5624	0.001953125
5625	0.001953125
5632	0.0625
5633	0.0625
5634	0.0625
5635	0.0625
5636	0.0625
5637	0.0625
5640	0.00390625
5644	0.00390625
5645	0.00390625
5663	0.0078125
5688	0.01953125
5689	0.01953125
5690	0.01953125
5707	0.0078125
5708	0.0078125
5712	0.00390625
5713	0.00390625
5714	0.00390625
5715	0.00390625
5716	0.00390625
5717	0.00390625
5725	0.001953125
5726	0.001953125
5727	0.001953125
5731	0.001953125
5732	0.015625
5733	0.015625
5734	0.0234375
5735	0.0234375
5736	0.0625
5737	0.0625
5738	0.0625
5739	0.0625
5746	0.0078125
5747	0.0078125
5751	0.25
5752	0.25
5755	0.00390625
5772	0.001953125
5775	0.001953125
5776	0.001953125
5788	0.00390625
5789	0.00390625
5790	0.00390625
5791	0.0078125
5799	0.00390625
5800	0.00390625
5801	0.00390625
5808	0.00390625
5810	0.00390625
5811	0.00390625
5812	0.00390625
5813	0.00390625
5814	0.00390625
5815	0.00390625
5835	0.015625
5836	0.015625
5837	0.015625
5847	0.00390625
5848	0.00390625
5856	0.00390625
5857	0.005859375
5858	0.001953125
5866	0.0078125
5871	0.001953125
5872	0.001953125
5876	0.00390625
5877	0.00390625
5878	0.00390625
5879	0.001953125
5880	0.001953125
5898	0.0078125
5912	0.001953125
5919	0.00390625
5920	0.00390625
5923	0.001953125
5924	0.001953125
5925	0.001953125
5926	0.00390625
5927	0.00390625
5928	0.00390625
5931	0.001953125
5932	0.001953125
5942	0.03125
5943	0.03125
5944	0.03125
5945	0.03125
5946	0.03125
5952	0.001953125
5954	0.00390625
5955	0.00390625
5957	0.0078125
5958	0.0078125
5959	0.0078125
5966	0.0078125
5967	0.0078125
5968	0.0078125
5969	0.00390625
5970	0.00390625
5971	0.00390625
5972	0.00390625
5973	0.00390625
5974	0.00390625
5975	0.00390625
